"PatternId_decimal",description,"killchain_stage",name,objective,scenario,scenarioFriendly,severity,"show_in_ui",tactic,technique
523,"A process attempted to disable an important logging service",Unknown,LogTamperingMac1,"Follow Through","suspicious_activity","Suspicious activity",50,False,Impact,"Service Stop"
525,"A shell is behaving in a manner highly similar to a known Metasploit payload.",Unknown,RemoteShellMac,"Follow Through","suspicious_activity","Suspicious activity",70,True,Execution,Scripting
524,"A process is behaving similar to the Java Meterpreter backdoor",Unknown,MeterpreterMac,"Falcon Detection Method","known_malware","Known malware",70,True,"Post-Exploit","Malicious Tool Execution"
527,"An unexpected process loaded a KEXT",Unknown,SystemIntegrityTampering2,"Keep Access","suspicious_activity","Suspicious activity",70,True,"Defense Evasion",Rootkit
526,"rootless-init was executed unconventionally",Unknown,SystemIntegrityTampering1,"Follow Through","suspicious_activity","Suspicious activity",50,False,Execution,"Service Execution"
529,"A process is behaving similar to the Python Meterpreter backdoor",Unknown,Meterpreter2Mac,"Follow Through","suspicious_activity","Suspicious activity",30,False,Execution,Scripting
528,"A process manually started the sudo password timer",Installation,SudoPasswordBypass,"Gain Access","privilege_escalation","Privilege escalation",50,True,"Privilege Escalation","Exploitation for Privilege Escalation"
530,"A process modified an important PAM configuration file",Installation,PamConfigurationModified,"Gain Access","privilege_escalation","Privilege escalation",50,True,"Privilege Escalation","Valid Accounts"
531,"An unsigned process modified a PAM configuration file",Installation,PamConfigurationModified2,"Gain Access","privilege_escalation","Privilege escalation",50,False,"Privilege Escalation","Valid Accounts"
532,"A process tampered with Falcon Host's directory content",Unknown,FalconHostDirectoryTamperingMac,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion","Disabling Security Tools"
533,"A process tampered with the Falcon Host launch daemon",Unknown,FalconHostLaunchDaemonTamperingMac,"Keep Access","suspicious_activity","Suspicious activity",70,True,"Defense Evasion","Disabling Security Tools"
535,"An attempt to kill the falcon host process occured",Unknown,FalconHostEndProcessTamperingMac,"Keep Access","suspicious_activity","Suspicious activity",70,True,"Defense Evasion","Disabling Security Tools"
534,"A process unloaded a critical sensor component",Unknown,FalconHostUnloadTamperingMac,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion","Disabling Security Tools"
537,"A pty has spawned within a process tree that escalated privileges",Installation,PtyUnderSetuidTree,"Follow Through","privilege_escalation","Privilege escalation",50,False,Execution,"Command-Line Interface"
536,"The networksetup tool applied the localhost as a proxy, which is often indicative of a remote man in the middle attack",Unknown,AutoProxyUrlSetToLocalhost,"Contact Controlled Systems","suspicious_activity","Suspicious activity",50,True,"Command and Control","Connection Proxy"
538,"DEPRECATED - A network listening process spawned a pty and a shell",Unknown,"DEPRECATED - PtyShellUnderListeningProcess","Follow Through","suspicious_activity","Suspicious activity",50,False,Execution,"Command-Line Interface"
540,"A network capable process exec'ed a shell",Unknown,RemoteShellExecMac,"Follow Through","suspicious_activity","Suspicious activity",50,False,Execution,"Command-Line Interface"
541,"A pty spawned under a web browser",Unknown,PtyUnderWebBrowser,"Follow Through","suspicious_activity","Suspicious activity",50,False,Execution,"Exploitation for Client Execution"
542,"A suspicious process wrote a file using a common ransomware extension",Unknown,"DEPRECATED--RansomwareEncryptingFileMac","Follow Through",ransomware,ransomware,1,False,Impact,"Data Encrypted for Impact"
543,"An ASEP was modified in the background using a terminal based editor",Unknown,AsepManualModification,"Keep Access","suspicious_activity","Suspicious activity",50,False,Persistence,"Modify Existing Service"
539,"Interactive shell in process subtree beneath a productivity application",Exploitation,Spearphish6Mac,"Follow Through","malicious_document","Malicious document",50,False,Execution,"Command-Line Interface"
544,"System call made by a browser via shellcode or ROP",Exploitation,DriveBySuspiciousSyscallMac,"Follow Through","drive_by_download","Web exploit",50,False,Execution,"Exploitation for Client Execution"
545,"An image was loaded by a browser from an unusual location",Exploitation,DriveByAnomalousImageLoadMac,"Follow Through","drive_by_download","Web exploit",50,False,Execution,"Exploitation for Client Execution"
546,"Detected the deletion of backups often indicative of ransomware activity",Unknown,VolumeShadowCopyDeletionExecuted,"Follow Through",ransomware,ransomware,90,True,Impact,"Inhibit System Recovery"
547,"Terminated a process related to the deletion of backups, which is often indicative of ransomware activity.",ResponseActions,VolumeShadowCopyDeletionTerminated,"Follow Through","process_terminated","A process was terminated in response to malicious behavior",70,True,Impact,"Inhibit System Recovery"
548,"Blocked an attempt to delete backups, which is often indicative of ransomware activity.",ResponseActions,VolumeShadowCopyDeletionBlocked,"Follow Through","activity_prevented","A malicious activity was prevented",70,True,Impact,"Inhibit System Recovery"
550,"An attempt to dump a user's hashed password was terminated",ResponseActions,HashCollectorTerminated,"Gain Access","activity_prevented","A malicious activity was prevented",70,True,"Credential Access","Credentials in Files"
552,"A process with behavior indicative of the Empyre Backdoor was terminated",ResponseActions,EmpyreBackdoorTerminated,"Follow Through","activity_prevented","A malicious activity was prevented",70,True,Execution,Scripting
549,"An attempt to dump a user's hashed password was blocked.",ResponseActions,HashCollectorBlocked,"Gain Access","activity_prevented","A malicious activity was prevented",70,True,"Credential Access","Credentials in Files"
551,"Blocked an attempt to recover a plaintext password.",ResponseActions,KcpasswordDecodedBlocked,"Gain Access","activity_prevented","A malicious activity was prevented",80,True,"Credential Access","Credentials in Files"
553,"An executable was downloaded with a command line tool and then run as a service",Unknown,BackgroundServiceSetup,"Keep Access","suspicious_activity","Suspicious activity",70,True,Persistence,"Launch Daemon"
554,"A binary was written using a file sharing protocol and then executed. Adversaries can setup malware remotely and copy it to a host during an attack. Review the file and process tree.",Unknown,BackgroundDownloadAndExecute,"Contact Controlled Systems","suspicious_activity","Suspicious activity",50,False,"Command and Control","Remote File Copy"
555,"A process is behaving similar to the TinyShell backdoor",Unknown,TinyShellService,"Follow Through","suspicious_activity","Suspicious activity",50,False,Execution,"Command-Line Interface"
557,"Script code was passed directly to an interpreter. Adversaries can use this to execute malicious code without writing a file. Review the command line and process tree.",Unknown,FilelessScriptExecution,"Follow Through","suspicious_activity","Suspicious activity",50,False,Execution,Scripting
556,"A binary was overwritten and escalated to run with root privileges",Installation,AuthExeWithPriv,"Gain Access","privilege_escalation","Privilege escalation",90,True,"Privilege Escalation","Startup Items"
558,"Script code was passed directly to an interpreter by a suspicious application. Adversaries can use this to execute malicious code without writing a file. Review the command line and process tree.",Unknown,FilelessScriptExecutionUnderApp,"Follow Through","suspicious_activity","Suspicious activity",50,False,Execution,Scripting
561,"CONTROL BEHAVIOR: Used in SBWL channel file to disable CSA for Process.",Unknown,DisableCSAForProcess,,"internal_control","Internal control",10,False,,
559,"A process downloaded an executable from a server listening on a privileged port",Unknown,ExecutableDownloadedFromPrivilegedPort,"Contact Controlled Systems","suspicious_activity","Suspicious activity",50,False,"Command and Control","Uncommonly Used Port"
1000,"Falcon Overwatch has identified files that are likely malicious in nature. This has been raised for immediate action and should be investigated urgently.",Unknown,"CloudDetect-SRTMalware","Falcon Detection Method","overwatch_detection","Falcon Overwatch detection",70,True,"Falcon Overwatch","Malicious Activity"
1001,"Falcon Overwatch identified this as malicious activity carried out by a suspected or known eCrime adversary. Investigate this immediately and urgently.",Unknown,"CloudDetect-SRTActivity","Falcon Detection Method","overwatch_detection","Falcon Overwatch detection",80,True,"Falcon Overwatch","Malicious File"
1002,"Falcon Overwatch has identified suspicious activity of moderate concern. This activity has been raised for your awareness and should be investigated as normal.",Unknown,"CloudDetect-SRTRansomware","Falcon Detection Method","overwatch_detection","Falcon Overwatch detection",50,True,"Falcon Overwatch","Suspicious Activity"
1234,"Execution of known malware",Unknown,"CloudDetect-VirusTotalHits",,"known_malware","Known malware",50,True,,
2000,"An executable ran that contained a right-to-left override character in its file name and was flagged as suspicious.",Exploitation,"CloudDetect-Filename1","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
2001,"An executable ran that had a suspicious file name containing whitespace characters before an executable extension.",Exploitation,"CloudDetect-Filename2","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
2002,"An executable ran that had a suspicious file name containing right-to-left characters.",Exploitation,"CloudDetect-Filename3","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
2003,"An executable ran that had a suspicious file name with two extensions.",Exploitation,"CloudDetect-Filename2003","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
2004,"An executable is imitating the file name of a standard OS file (e.g. malware.exe renamed and running as svchost.exe).",Exploitation,"CloudDetect-Filename2004","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
2005,"An executable is running from a location in which no executables should be running.",Exploitation,"CloudDetect-Filename2005","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
2007,"An executable ran that had a non-executable file extension.",Unknown,"CloudDetect-Filename2007","Keep Access","suspicious_activity","Suspicious activity",50,True,"Defense Evasion",Masquerading
2006,"An executable was started from an alternate data stream.",Unknown,"CloudDetect-Filename2006","Keep Access","suspicious_activity","Suspicious activity",50,True,"Defense Evasion","NTFS File Attributes"
2100,"An executable was written with a suspicious file name containing a right-to-left override character.",Exploitation,"CloudDetect-Filename4","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
2101,"An executable was written with a suspicious file name containing whitespace characters before an executable extension.",Exploitation,"CloudDetect-Filename5","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
2102,"An executable was written with a suspicious filename containing right-to-left characters",Exploitation,"CloudDetect-Filename6","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
2103,"A file was written to disk that contained two file extensions, the last of which is an executable extension (e.g. EvilFile.doc.exe).",Exploitation,"CloudDetect-Filename2103","Keep Access","social_engineering","Social engineering",50,True,"Defense Evasion",Masquerading
3000,"Productivity app or one of its children wrote a registry key used for persistence",Exploitation,"CloudDetect-ProductivityAppAsep",,"malicious_document","Malicious document",30,False,,
3100,"Process chain indicative of a Java exploit",Exploitation,"CloudDetect-JavaExploit","Follow Through","drive_by_download","Web exploit",50,True,Execution,"Exploitation for Client Execution"
3101,"Detected a process execution indicative of a Java exploit such as Metasploit.",Exploitation,"CloudDetect-JavaExploit3101","Follow Through","drive_by_download","Web exploit",50,True,Execution,"Exploitation for Client Execution"
3200,"A file surpassed an antivirus detection threshold",Unknown,"CloudDetect-VirusTotalMedium","Falcon Detection Method","known_malware","Known malware",50,False,"Machine Learning","Cloud-based ML"
3203,"A file surpassed a threshold for high-confidence antivirus detection. The process was terminated.",Unknown,"CloudDetect-VirusTotalKillProcess","Falcon Detection Method","known_malware","Known malware",70,True,"Machine Learning","Cloud-based ML"
3201,"A file triggered antivirus detections but did not surpass a high-confidence threshold",Unknown,"CloudDetect-VirusTotalInformational","Falcon Detection Method","known_malware","Known malware",10,False,"Machine Learning","Cloud-based ML"
3202,"A file surpassed a threshold for antivirus detection and was flagged as potential adware or PUP.",Unknown,"CloudDetect-VirusTotalAdware","Falcon Detection Method","known_malware","Known malware",30,True,"Machine Learning","Adware/PUP"
3204,"A file surpassed an antimalware detection threshold",Unknown,"CloudDetect-VirusTotalMedium-3204","Falcon Detection Method","known_malware","Known malware",50,False,"Machine Learning","Cloud-based ML"
3205,"A file surpassed an adware detection threshold",Unknown,"CloudDetect-VirusTotalAdware-3205","Falcon Detection Method","known_malware","Known malware",30,False,"Machine Learning","Adware/PUP"
3210,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware.",Unknown,"CloudDetect-MLVT-High-3210","Falcon Detection Method","machine_learning","Machine learning",70,True,"Machine Learning","Cloud-based ML"
3211,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware.",Unknown,"CloudDetect-MLVT-Medium-3211","Falcon Detection Method","machine_learning","Machine learning",50,True,"Machine Learning","Cloud-based ML"
3212,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware.",Unknown,"CloudDetect-MLVT-Low-3212","Falcon Detection Method","machine_learning","Machine learning",30,True,"Machine Learning","Cloud-based ML"
3220,"This file meets the pending File Attribute ML algorithm's high-confidence threshold for malware.",Unknown,"CloudDetect-MLVT-StagingHigh-3220",,"machine_learning","Machine learning",70,False,,
3222,"This file meets the pending File Attribute ML algorithm's low-confidence threshold for malware.",Unknown,"CloudDetect-MLVT-StagingLow-3222",,"machine_learning","Machine learning",30,False,,
3221,"This file meets the pending File Attribute ML algorithm's medium-confidence threshold for malware.",Unknown,"CloudDetect-MLVT-StagingMedium-3221",,"machine_learning","Machine learning",50,False,,
3230,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware.",Unknown,"CloudDetect-MLFileAttr-High-3230","Falcon Detection Method","machine_learning","Machine learning",70,True,"Machine Learning","Cloud-based ML"
3231,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware.",Unknown,"CloudDetect-MLFileAttr-Medium-3231","Falcon Detection Method","machine_learning","Machine learning",50,True,"Machine Learning","Cloud-based ML"
3232,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware.",Unknown,"CloudDetect-MLFileAttr-Low-3232","Falcon Detection Method","machine_learning","Machine learning",30,True,"Machine Learning","Cloud-based ML"
3233,"This file meets the File Attribute ML algorithm's lowest-confidence threshold for malware.",Unknown,"CloudDetect-MLFileAttr-Lowest-3233","Falcon Detection Method","machine_learning","Machine learning",10,True,"Machine Learning","Cloud-based ML"
3235,"This file meets the File Analysis ML algorithm's medium-confidence threshold for malware.",Unknown,"CloudDetect-MLLapsang-Medium","Falcon Detection Method","machine_learning","Machine learning",50,True,"Machine Learning","Cloud-based ML"
3234,"This file meets the File Analysis ML algorithm's high-confidence threshold for malware.",Unknown,"CloudDetect-MLLapsang-High","Falcon Detection Method","machine_learning","Machine learning",70,True,"Machine Learning","Cloud-based ML"
3236,"This file meets the File Analysis ML algorithm's low-confidence threshold for malware.",Unknown,"CloudDetect-MLLapsang-Low","Falcon Detection Method","machine_learning","Machine learning",30,True,"Machine Learning","Cloud-based ML"
3237,"This file meets the File Analysis ML algorithm's lowest-confidence threshold for malware.",Unknown,"CloudDetect-MLLapsang-Lowest","Falcon Detection Method","machine_learning","Machine learning",10,True,"Machine Learning","Cloud-based ML"
3241,"This file meets the pending File Attribute ML algorithm's medium-confidence threshold for malware.",Unknown,"CloudDetect-MLFileAttr-StagingMedium-3241",,"machine_learning","Machine learning",50,False,,
3240,"This file meets the pending File Attribute ML algorithm's high-confidence threshold for malware.",Unknown,"CloudDetect-MLFileAttr-StagingHigh-3240",,"machine_learning","Machine learning",70,False,,
3242,"This file meets the pending File Attribute ML algorithm's low-confidence threshold for malware.",Unknown,"CloudDetect-MLFileAttr-StagingLow-3242",,"machine_learning","Machine learning",30,False,,
3243,"This file meets the pending File Attribute ML algorithm's lowest-confidence threshold for malware.",Unknown,"CloudDetect-MLFileAttr-StagingLowest-3243",,"machine_learning","Machine learning",10,False,,
3300,"The creation or execution of targeted malware known by CrowdStrike Intelligence",Unknown,"CloudDetect-BlacklistedHash","Falcon Detection Method","intel_detection","Intelligence-driven detection",70,False,"Falcon Intel","Intelligence Indicator - Hash"
3206,"A file surpassed a threshold for antivirus detection and was flagged as potential adware or PUP.",Unknown,"CloudDetect-FileAttrAdware","Falcon Detection Method","known_malware","Known malware",30,True,"Machine Learning","Adware/PUP"
3302,"The creation or execution of malware known by CrowdStrike Intelligence",Unknown,"CloudDetect-BlacklistedHashLow","Falcon Detection Method","intel_detection","Intelligence-driven detection",30,False,"Falcon Intel","Intelligence Indicator - Hash"
3301,"The creation or execution of malware known by CrowdStrike Intelligence",Unknown,"CloudDetect-BlacklistedHashMedium","Falcon Detection Method","intel_detection","Intelligence-driven detection",50,False,"Falcon Intel","Intelligence Indicator - Hash"
3400,"A domain lookup matched a CrowdStrike Intelligence indicator used in targeted attacks",Unknown,"CloudDetect-BlacklistedDomain","Falcon Detection Method","intel_detection","Intelligence-driven detection",70,False,"Falcon Intel","Intelligence Indicator - Domain"
3500,"Malware was executed that is known by CrowdStrike Intelligence and attributable to a known adversary.",Unknown,"CloudDetect-AdversaryAttribution","Falcon Detection Method","intel_detection","Intelligence-driven detection",70,True,"Falcon Intel","Attributed to Adversary"
3402,"A domain lookup matched a CrowdStrike Intelligence indicator used in non-targeted, commodity malware",Unknown,"CloudDetect-BlacklistedDomainLow","Falcon Detection Method","intel_detection","Intelligence-driven detection",30,False,"Falcon Intel","Intelligence Indicator - Domain"
3401,"A domain lookup matched a CrowdStrike Intelligence indicator",Unknown,"CloudDetect-BlacklistedDomainMedium","Falcon Detection Method","intel_detection","Intelligence-driven detection",50,False,"Falcon Intel","Intelligence Indicator - Domain"
4000,"A file on your watchlist was executed.",Unknown,"CloudDetect-CustomerIdentifiedMalware","Falcon Detection Method","known_malware","Known malware",70,True,"Custom Intelligence","Indicator of Compromise"
4100,"A process bypassed Windows User Access Controls.",Installation,"CloudDetect-UACBypass","Gain Access","privilege_escalation","Privilege escalation",50,True,"Privilege Escalation","Bypass User Account Control"
4200,"A standard Windows process was run by an unexpected process",Unknown,"CloudDetect-UnexpectedParent4200","Follow Through","suspicious_activity","Suspicious activity",50,False,Execution,"Service Execution"
4300,"The vssadmin tool was used to delete all volume snapshots.",Unknown,"CloudDetect-VssAdmin4300","Follow Through","suspicious_activity","Suspicious activity",70,True,Impact,"Inhibit System Recovery"
4303,"A command was run that is associated with Chopper web shell activity.",Unknown,"CloudDetect-Chopper4303","Keep Access","suspicious_activity","Suspicious activity",70,True,Persistence,"Web Shell"
4302,"The command ""net group"" was executed. Adversaries can use this to identify targets for lateral movement. Review the process tree.",Unknown,"CloudDetect-NetGroup4302",Explore,"suspicious_activity","Suspicious activity",30,False,Discovery,"Account Discovery"
4304,"The wevtutil tool was used to clear the event log. This action is used by attackers to remove traces of their activities from the machine.",Unknown,"CloudDetect-Wevtutil4304","Keep Access","suspicious_activity","Suspicious activity",30,False,"Defense Evasion","Indicator Removal on Host"
4501,"A registry key was set to replace accessibility configuration functionality, which is often done by attackers to bypass the login screen.",Unknown,"CloudDetect-IFEOUtilman4501","Keep Access","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4305,"A command was run that is associated with dumping LSASS process memory.","Lateral motion","CloudDetect-Procdump4305","Gain Access","credential_theft","Credential theft",80,True,"Credential Access","Credential Dumping"
4500,"A registry key was set to replace accessibility functionality, which is often done by attackers to bypass the login screen.",Unknown,"CloudDetect-IFEOSethc4500","Keep Access","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4306,"PowerShell was run with a hidden window and encoded commands on the command line.",Unknown,"CloudDetect-Powershell4306","Follow Through","suspicious_activity","Suspicious activity",30,True,Execution,PowerShell
4502,"A registry key was set to replace the on-screen keyboard, which is often done by attackers to bypass the login screen.",Unknown,"CloudDetect-IFEOOSK4502","Keep Access","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4503,"A registry key was set to replace the system tool narrator, which is often done by attackers to bypass the login screen.",Unknown,"CloudDetect-IFEONarrator4503","Keep Access","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4504,"A registry key was set to replace the magnify accessibility tool, which is often done by attackers to bypass the login screen.",Unknown,"CloudDetect-IFEOUMagnify4504","Keep Access","suspicious_activity","Suspicious activity",70,True,Persistence,"Accessibility Features"
4700,"This MD5 hash was prevented from executing in accordance with your organization's policy.",Unknown,BlockedHashManualMd5,"Falcon Detection Method","blocked_hash","Blocked Hash",70,True,"Custom Intelligence","Indicator of Compromise"
4701,"This SHA256 hash was prevented from executing in accordance with your organization's policy.",Unknown,BlockedHashManualSha256,"Falcon Detection Method","blocked_hash","Blocked Hash",70,True,"Custom Intelligence","Indicator of Compromise"
4600,"A volume shadow snapshot was created for a registry hive containing user password hashes","Lateral motion","CloudDetect-PWDump4600","Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
4704,"A file surpassed a high-confidence antivirus detection threshold. The process was terminated.",Unknown,"FirstRun-KilledHashVTSha256","Falcon Detection Method","blocked_hash","Blocked Hash",70,True,"Machine Learning","Cloud-based ML"
4702,"This SHA1 hash was prevented from executing in accordance with your organization's policy.",Unknown,BlockedHashManualSha1,"Falcon Detection Method","blocked_hash","Blocked Hash",70,True,"Custom Intelligence","Indicator of Compromise"
4705,"A file surpassed a high-confidence adware detection threshold. The process was blocked.",Unknown,"FirstRun-BlockedHashVTAdwareSha256","Falcon Detection Method","blocked_hash","Blocked Hash",30,True,"Machine Learning","Adware/PUP"
4703,"A file surpassed a high-confidence antivirus detection threshold. The process was blocked.",Unknown,"FirstRun-BlockedHashVTSha256","Falcon Detection Method","blocked_hash","Blocked Hash",70,True,"Machine Learning","Cloud-based ML"
4706,"A file surpassed a high-confidence adware detection threshold. The process was terminated.",Unknown,"FirstRun-KilledHashVTAdwareSha256","Falcon Detection Method","blocked_hash","Blocked Hash",30,True,"Machine Learning","Adware/PUP"
4707,"A file surpassed a high-confidence static file analysis detection threshold for malware. The process was blocked.",Unknown,"FirstRun-BlockedHashPrewittSha256","Falcon Detection Method","blocked_hash","Blocked Hash",70,True,"Machine Learning","Cloud-based ML"
4708,"A file surpassed a high-confidence machine learning-based static (file) analysis detection threshold for malware. The process was terminated.",Unknown,"FirstRun-KilledHashPrewittSha256","Falcon Detection Method","blocked_hash","Blocked Hash",70,True,"Machine Learning","Cloud-based ML"
4709,"This file meets the File Analysis ML algorithm's low-confidence threshold for malware. The process was blocked.",ResponseActions,"Blocked-PrewittLow","Falcon Detection Method","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4710,"This file meets the File Analysis ML algorithm's low-confidence threshold for malware. The process was terminated.",ResponseActions,"Killed-PrewittLow","Falcon Detection Method","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4714,"This file meets the File Analysis ML algorithm's high-confidence threshold for malware. The process was terminated.",ResponseActions,"Killed-PrewittHigh","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4711,"This file meets the File Analysis ML algorithm's medium-confidence threshold for malware. The process was blocked.",ResponseActions,"Blocked-PrewittMedium","Falcon Detection Method","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4713,"This file meets the File Analysis ML algorithm's high-confidence threshold for malware. The process was blocked.",ResponseActions,"Blocked-PrewittHigh","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4712,"This file meets the File Analysis ML algorithm's medium-confidence threshold for malware. The process was terminated.",ResponseActions,"Killed-PrewittMedium","Falcon Detection Method","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4715,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware. The process was blocked.",ResponseActions,"Blocked-VTLow","Falcon Detection Method","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4716,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware. The process was terminated.",ResponseActions,"Killed-VTLow","Falcon Detection Method","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4717,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware. The process was blocked.",ResponseActions,"Blocked-VTMedium","Falcon Detection Method","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4719,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware. The process was blocked.",ResponseActions,"Blocked-VTHigh","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4720,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware. The process was terminated.",ResponseActions,"Killed-VTHigh","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4718,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware. The process was terminated.",ResponseActions,"Killed-VTMedium","Falcon Detection Method","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4722,"This file meets the machine learning-based on-sensor AV protection for malicious files. The process was terminated.",ResponseActions,"Killed-MLSensor","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Sensor-based ML"
4721,"This file meets the machine learning-based on-sensor AV protection for malicious files. The process was blocked.",ResponseActions,"Blocked-MLSensor","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Sensor-based ML"
4724,"This file meets the machine learning-based on-sensor AV protection's low confidence threshold for malicious files and was terminated.",ResponseActions,"Killed-MLSensor-Low","Falcon Detection Method","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Sensor-based ML"
4723,"This file meets the machine learning-based on-sensor AV protection's low confidence threshold for malicious files and was blocked.",ResponseActions,"Blocked-MLSensor-Low","Falcon Detection Method","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Sensor-based ML"
4726,"This file meets the machine learning-based on-sensor AV protection's medium confidence threshold for malicious files and was terminated.",ResponseActions,"Killed-MLSensor-Medium","Falcon Detection Method","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Sensor-based ML"
4725,"This file meets the machine learning-based on-sensor AV protection's medium confidence threshold for malicious files and was blocked.",ResponseActions,"Blocked-MLSensor-Medium","Falcon Detection Method","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Sensor-based ML"
4727,"This file meets the machine learning-based on-sensor AV protection's high confidence threshold for malicious files and was blocked.",ResponseActions,"Blocked-MLSensor-High","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Sensor-based ML"
4728,"This file meets the machine learning-based on-sensor AV protection's high confidence threshold for malicious files and was terminated.",ResponseActions,"Killed-MLSensor-High","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Sensor-based ML"
4730,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware. The process was blocked.",ResponseActions,"Blocked-FileAttrMedium","Falcon Detection Method","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4729,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware. The process was blocked.",ResponseActions,"Blocked-FileAttrHigh","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4732,"This file meets the File Attribute ML algorithm's high-confidence threshold for malware. The process was terminated.",ResponseActions,"Killed-FileAttrHigh","Falcon Detection Method","activity_prevented","A malicious activity was prevented",70,True,"Machine Learning","Cloud-based ML"
4734,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware. The process was terminated.",ResponseActions,"Killed-FileAttrLow","Falcon Detection Method","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4731,"This file meets the File Attribute ML algorithm's low-confidence threshold for malware. The process was blocked.",ResponseActions,"Blocked-FileAttrLow","Falcon Detection Method","activity_prevented","A malicious activity was prevented",30,True,"Machine Learning","Cloud-based ML"
4733,"This file meets the File Attribute ML algorithm's medium-confidence threshold for malware. The process was terminated.",ResponseActions,"Killed-FileAttrMedium","Falcon Detection Method","activity_prevented","A malicious activity was prevented",50,True,"Machine Learning","Cloud-based ML"
4736,"A file surpassed a high-confidence adware detection threshold. The process was terminated.",Unknown,"FirstRun-KilledHashFileAttrAdwareSha256","Falcon Detection Method","blocked_hash","Blocked Hash",30,True,"Machine Learning","Adware/PUP"
4735,"This file meets the Adware/PUP algorithm's high-confidence threshold.",Unknown,"FileAttrPupAdwareSensorDetect-High","Falcon Detection Method",NGAV,NGAV,30,True,"Machine Learning","Adware/PUP"
4737,"This MD5 hash was blocked from being written to the file-system in accordance with your organization's policy. The file was quarantined.",Unknown,"OnWrite-BlockedHashManualMd5","Falcon Detection Method","blocked_hash","Blocked Hash",70,False,"Custom Intelligence","Indicator of Compromise"
